iso3,year,pop,smear_num,sm_prev_100k,sm_prev_100k_lo,sm_prev_100k_hi,bac_num,bac_prev_100k,bac_prev_100k_lo,bac_prev_100k_hi
BGD,2008,52098,33,79,47,130,33,,,
CHN,1990,1461190,1827,130,120,140,2389,180,170,190
CHN,2000,365097,447,120,110,140,584,160,140,180
CHN,2010,252940,188,66,53,79,347,120,100,140
ETH,2011,46697,4,108,73,143,110,277,208,347
GHA,2013,61726,64,111,76,145,202,356,288,425
GMB,2013,43100,34,90,53,127,77,212,152,272
IDN,2004,50154,80,150,94,200,,,,
KEN,2016,63050,123,230,174,286,305,558,455,662
KHM,2002,22160,81,360,280,460,271,1200,1000,1500
KHM,2011,37417,103,270,210,350,314,830,710,980
KOR,1990,48976,70,140,,,118,240,180,260
KOR,1995,64713,60,93,,,142,220,180,260
LAO,2011,39212,107,280,200,360,237,600,460,730
MMR,1994,37424,39,100,70,140,,,,
MMR,2009,51367,123,240,190,320,311,610,500,750
MWI,2014,31579,62,220,142,297,132,452,312,593
NGA,2012,44186,107,318,225,412,144,524,378,670
PAK,2011,105913,233,270,220,320,341,400,330,460
PHL,1997,12850,47,360,280,450,127,960,750,1200
PHL,2007,20625,60,260,170,360,151,660,510,810
RWA,2012,43128,27,74,48,99,40,119,79,160
SDN,2014,83202,57,87,52,121,112,183,128,238
THA,1991,35844,73,170,,,101,240,,
THA,2012,62536,58,100,56,180,142,240,180,320
TZA,2012,50447,134,275,232,326,,,,
UGA,2015,41154,66,174,111,238,160,401,292,509
VNM,2007,94179,174,200,150,240,269,310,250,370
ZMB,2014,46099,135,319,232,406,265,638,502,774
ZWE,2014,33736,23,82,47,118,107,344,268,420
VNM,2018,61763,50,81,61,107,221,358,314,408
PHL,2016,46689,173,434,350,518,466,1159,1016,1301
NPL,2018,58956,,,,,236,416,314,518
MMR,2018,66480,,,,,322,468,391,546
MNG,2015,60031,88,204,143,265,248,559,454,664
IDN,2014,67944,165,256,210,302,426,759,589,960
IND,2021,322480,445,,,,981,304,285,324
PRK,2016,60683,187,,,,340,567,510,631
BGD,2016,98710,108,113,87,139,278,287,244,330
ZAF,2019,35191,,,,,234,852,679,1026
NAM,2018,29523,,,,,115,465,340,590
LSO,2019,21719,,,,,153,581,466,696
SWZ,2019,24356,74,352,264,440,,,,
ERI,2005,19197,15,83,41,124,,,,