iso3,year,mage,n,ari,ari_lo,ari_hi
AFG,2006,,11413,0.8,0.76,0.84
BEN,1989,7.9,17390,0.44,,
BEN,1994,8.1,23476,0.5,,
BGD,1965,7.5,,0.56,0.48,0.64
BGD,2008,7,9357,1.5,,
BGD,2008,12,8228,1.7,,
BTN,2009,7,835,0.7,0.5,0.9
BWA,1996,2.3,783,3.1,,
CAF,2011,10,2710,1.9,1.7,2.2
CAF,2011,10,2710,0.8,0.7,0.9
CHN,2000,,,0.7,,
DJI,1994,8.3,1523,2.86,,
DJI,2001,,1747,3.64,,
EGY,1996,6.7,14766,0.32,0.27,0.4
ETH,1989,8,23695,1.4,,
GHA,2005,9,21861,,0,0.6
GMB,2011,9,13386,1.27,1.09,1.49
GRC,1986,21,544210,0.89,,
HKG,2000,8,21113,1.68,1.61,1.74
IND,2002,4,83746,1.5,1.4,1.6
IND,2010,4,18400,1,0.8,1.2
KEN,1988,8.5,14984,0.6,,
KEN,1995,9,7556,1.1,0.8,1.4
KEN,2006,9.6,76676,1.1,0.8,1.4
KHM,1991,7.7,,0.75,0.56,0.96
KHM,1995,8,1224,1,,
KHM,2002,6,,2.06,1.77,2.4
KOR,1990,7.5,1210,1.1,,
KOR,1995,7.5,857,0.5,,
KOR,2006,6,4018,1.9,,
LAO,1997,8.4,4035,1.1,,
LKA,2010,10,4318,0.4,0.2,0.7
MDG,1993,8,1544,1.29,0.97,1.59
MWI,1994,9.6,8076,1.4,1.3,1.6
NPL,2006,9,17260,0.86,0.49,1.23
PHL,1997,7.5,438.45,2.3,,
SAU,2013,26.3,1369,0.36,,
SOM,2006,,5596.56,2.7,2.5,2.9
TWN,1997,,15147,0.44,,
TZA,1985,10.4,34427,1.2,,
TZA,1990,10.9,29696,1,,
TZA,1995,11.3,20592,0.9,,
TZA,2002,9.5,10239,0.68,0.55,0.81
VNM,2006,10,21487,1.7,1.5,1.8
YEM,2007,9.5,28499,0.05,0.04,0.07